City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Chegutu,ZW,-18.1302,30.1407,71.6,63,100,4.34,overcast clouds
163,Nainpur,IN,22.4333,80.1167,56.98,28,0,3.22,clear sky
164,Chuy,UY,-33.6971,-53.4616,70.29,43,1,13.4,clear sky
165,Juybar,IR,36.6412,52.9124,51.89,81,94,4.9,overcast clouds
166,Khartoum,SD,15.5518,32.5324,76.01,20,12,1.99,few clouds
167,De Aar,ZA,-30.6497,24.0123,75.33,48,73,16.13,broken clouds
168,Poso,ID,-1.3959,120.7524,76.3,83,100,3.62,overcast clouds
169,Shimoda,JP,34.6667,138.95,36.1,90,100,20.89,overcast clouds
170,Lorengau,PG,-2.0226,147.2712,80.6,79,100,2.42,overcast clouds
171,Salalah,OM,17.0151,54.0924,77.09,25,0,4.61,clear sky
172,Rawson,AR,-43.3002,-65.1023,88.18,22,0,20.51,clear sky
173,Shelbyville,US,35.4834,-86.4603,44.11,35,0,4.0,clear sky
174,Magistralnyy,RU,56.1725,107.4458,-31.18,100,66,2.37,broken clouds
175,Tautira,PF,-17.7333,-149.15,86.02,76,88,16.26,light rain
176,Lodja,CD,-3.4833,23.4333,70.3,90,96,2.55,overcast clouds
177,Corn Island,NI,12.1694,-83.0418,80.65,75,12,18.79,few clouds
178,Kavieng,PG,-2.5744,150.7967,81.09,78,97,6.31,overcast clouds
179,Iqaluit,CA,63.7506,-68.5145,-16.31,68,75,0.0,broken clouds
180,Tungor,RU,53.3808,142.9564,-12.17,97,20,10.4,few clouds
181,Nishihara,JP,26.1842,127.7558,63.68,94,75,24.16,light rain
182,Bengkulu,ID,-3.8004,102.2655,75.96,89,99,3.49,overcast clouds
183,Kailua,US,21.4022,-157.7394,78.78,69,20,12.66,few clouds
184,Dudinka,RU,69.4058,86.1778,-15.0,88,14,6.93,few clouds
185,Concepcion Del Oro,MX,24.6333,-101.4167,55.54,24,96,2.35,overcast clouds
186,Pacific Grove,US,36.6177,-121.9166,84.61,53,0,4.61,clear sky
187,Hovd,MN,48.0056,91.6419,-13.43,80,14,3.27,few clouds
188,Troitskoye,RU,52.9821,84.6757,18.68,95,100,8.37,light snow
189,Tierralta,CO,8.1736,-76.0592,84.79,70,78,7.27,broken clouds
190,Tzaneen,ZA,-23.8332,30.1635,70.02,53,43,2.51,scattered clouds
191,Tuatapere,NZ,-46.1333,167.6833,53.82,67,11,3.11,few clouds
192,Seoul,KR,37.5683,126.9778,27.79,87,0,3.44,clear sky
193,Atar,MR,20.5169,-13.0499,70.38,19,100,9.35,overcast clouds
194,Atascadero,US,35.4894,-120.6707,78.15,38,0,2.55,clear sky
195,Maniitsoq,GL,65.4167,-52.9,2.32,87,100,12.97,overcast clouds
196,Broken Hill,AU,-31.95,141.4333,76.71,33,100,12.66,overcast clouds
197,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-25.65,100,98,4.61,overcast clouds
198,Malpe,IN,13.35,74.7167,78.1,87,10,3.71,clear sky
199,Gomel,BY,52.4345,30.9754,30.18,64,0,11.18,clear sky
200,Trelleborg,SE,55.3751,13.1569,39.58,77,100,19.42,overcast clouds
201,Mandurah,AU,-32.55,115.7,75.22,63,6,10.0,clear sky
202,Mancio Lima,BR,-7.6142,-72.8958,73.47,100,100,6.91,overcast clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,40,14.97,scattered clouds
204,Nome,US,64.5011,-165.4064,-12.84,76,0,0.0,clear sky
205,Buala,SB,-8.145,159.5921,79.41,84,99,7.11,light rain
206,Sisimiut,GL,66.9395,-53.6735,2.71,94,100,26.31,overcast clouds
207,Amapa,BR,1.0,-52.0,76.1,97,87,3.31,moderate rain
208,Pokhara,NP,28.2333,83.9833,50.9,61,3,4.21,clear sky
209,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,3.44,broken clouds
210,Tiksi,RU,71.6872,128.8694,-12.62,93,10,11.77,clear sky
211,Ingham,US,42.6,-84.3833,21.0,79,100,3.44,overcast clouds
